ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
2408,0,Tanzania,0,37.7078,-4.07513,238.27,2003-12-20,2003-12-21,News,0,2000,Heavy rain,1.0
2427,0,Tanzania,0,38.9875,-10.0803,534.805,2004-02-02,2004-02-04,News,4,0,Heavy rain,1.0
2467,0,Kenya,0,35.2972,0.087035,268299.25,2004-04-09,2004-05-11,News,50,15000,Heavy rain,1.0
2470,0,Djibouti,0,43.1004,11.486,375.433,2004-04-12,2004-04-16,News,53,2000,Heavy rain,1.0
2475,0,Tanzania,0,38.2289,-6.66212,1526.96,2004-04-18,2004-04-19,News,0,2600,Heavy rain,1.0
2477,0,Ethiopia,0,40.7733,11.2164,4312.8,2004-04-25,2004-04-25,News,7,0,Brief torrential rain,1.0
2573,0,Uganda,0,30.15,0.312954,1127.99,2004-10-18,2004-10-20,News,0,1500,Heavy rain,1.0
2578,0,Somalia,0,44.9301,3.03699,52232.64,2004-10-26,2004-11-27,News,0,1000,Heavy rain,1.0
2583,0,Uganda,0,31.4996,2.46938,299.295,2004-11-08,2004-11-10,News,0,10000,Heavy rain,1.0
2647,0,Tanzania,0,39.2955,-6.12967,507.011,2005-04-16,2005-04-18,News,1,300,Heavy rain,1.0
2649,0,Ethiopia,Somalia,43.2861,6.2723,336115.19,2005-04-23,2005-06-14,News,177,260000,Heavy rain,2.0
2652,0,Kenya,Uganda,37.2384,0.795883,443212.08,2005-05-03,2005-06-03,News,4,40000,Heavy rain,2.0
2672,0,Kenya,0,34.2361,0.542042,3517.31,2005-06-17,2005-06-20,News,20,1200,Heavy rain,1.0
2704,0,Sudan,0,24.7367,13.0351,163360.92,2005-08-03,2005-08-19,News,8,8000,Heavy rain,1.0
2715,0,Ethiopia,0,38.729,7.35224,52560.03,2005-08-20,2005-09-07,News,3,7000,Heavy rain,1.0
2738,0,Sudan,0,37.373,18.9643,40658.76,2005-08-29,2005-09-06,News,5,9000,Heavy rain,1.0
2793,0,Tanzania,0,32.523,-5.32376,75937.07,2006-02-03,2006-02-12,News,1,938,Heavy rain,1.0
2837,FF-2006-000046-KEN,Kenya,0,37.5348,2.25351,538045.66,2006-04-04,2006-05-22,News,60,17300,Heavy rain,1.0
2847,0,Ethiopia,0,41.6293,10.9861,83386.69,2006-04-09,2006-04-25,News,0,10000,Heavy rain,1.0
2863,FL-2006-000065-TZA,Tanzania,0,37.2205,-3.3275,12433.37,2006-05-09,2006-05-17,News,0,19000,Heavy rain,1.0
2869,0,Burundi,0,29.673,-3.86267,2695.04,2006-05-17,2006-05-28,News,1,5000,Heavy rain,1.0
2943,FL-2006-000112-ETH,Ethiopia,0,42.1857,9.67362,4225.43,2006-08-05,2006-08-08,News,256,10000,Heavy rain,1.0
2944,0,Somalia,0,45.445,2.66511,3845.15,2006-08-04,2006-08-09,News,0,400,Heavy rain,1.0
2946,FL-2006-000122-ETH,Ethiopia,0,36.2146,5.23956,15925.76,2006-08-13,2006-09-11,News,364,20000,Heavy rain,1.0
2950,FL-2006-000123-SDN,Sudan,Ethiopia,34.7638,13.2129,1485582.82,2006-08-13,2006-09-26,News,40,150000,Heavy rain,1.0
2952,FL-2006-000124-UGA,Uganda,0,34.2758,1.38446,4902.34,2006-08-12,2006-08-21,News,3,1680,Heavy rain,1.0
2955,0,Somalia,0,45.4444,3.10436,37381.73,2006-08-24,2006-10-10,News,5,0,Monsoonal rain,1.0
2976,FL-2006-000159-KEN,Kenya,0,40.005,-3.23915,12731.58,2006-10-15,2006-10-26,News,6,2000,Heavy rain,1.0
2979,FL-2006-000161-SOM,Kenya,Somalia,39.7224,0.781782,950041.45,2006-10-23,2007-01-04,News,150,700000,Heavy rain,1.0
2986,FL-2006-000157-ETH,Ethiopia,Somalia,44.6043,4.63506,504018.95,2006-10-27,2006-12-25,News,132,410000,Heavy rain,2.0
3001,0,Rwanda,0,29.9443,-1.79098,840.315,2006-11-28,2006-12-15,News,24,2000,Heavy rain,1.0
3013,FL-2007-000017-BDI,Burundi,,30.3995,-3.13897,293439.41,2007-01-01,2007-03-01,News,4,23000,Heavy rain,1.0
3028,0,Rwanda,0,29.4784,-1.73364,1342.82,2007-02-02,2007-02-16,News,10,500,Heavy rain,1.0
3059,0,Kenya,0,34.1741,0.424911,1102.54,2007-04-21,2007-04-30,News,0,2460,Heavy rain,1.0
3078,FL-2007-000076-KEN,Kenya,0,39.7621,-3.59393,13866.05,2007-05-15,2007-06-14,News,5,8500,Heavy rain,1.0
3123,FL-2007-000093-SDN,Sudan,0,33.7714,12.9072,1590906.98,2007-07-03,2007-10-08,News,150,200000,Heavy rain,1.0
3126,0,Ethiopia,0,37.1154,5.44555,19512.28,2007-07-06,2007-07-11,News,0,5800,Heavy rain,1.0
3146,FL-2007-000145-ETH,Ethiopia,0,34.5,8.33141,714220.19,2007-07-29,2007-10-05,News,17,42000,Heavy rain,1.0
3170,FL-2007-000161-UGA,Uganda,,34.2759,0.88127,107797.14,2007-08-15,2007-10-31,News,52,520000,Heavy rain,1.5
3183,0,Somalia,0,45.4269,2.97811,13305.25,2007-09-01,2007-10-04,News,4,8000,Heavy rain,1.0
3189,FL-2007-000159-RWA,Rwanda,0,29.4215,-1.67758,1163.19,2007-09-12,2007-09-20,News,20,4000,Heavy rain,1.0
